place,esite,etype,area,location,id,email,site,bu,type
Tầng 1 - Khu PACKER,,,OHS,Inside,THIV-FB-108,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho Tem An Toàn,,,OHS,Inside,THIV-FB-113,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 Khu Đóng Bao,,,OHS,Inside,THIV-FB-116,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực đậu xe máy nhân viên nhà thầu,,,OHS,Inside,THIV-FB-11,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho OLA cảng nhỏ Bên trái tầng 1,,,OHS,Inside,THIV-FB-26,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực xưởng sửa chữa bảo trì ( workshop),,,OHS,Inside,THIV-FB-34,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trước cửa phòng máy PCCC,,,OHS,Inside,THIV-FB-64,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt lò đốt - HOTGAS,,,OHS,Inside,THIV-FB-68,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cầu thang bộ tầng 3 - HOTGAS,,,OHS,Inside,THIV-FB-71,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cảng Lớn H7 - Cảng lớn quẹo phải,,,OHS,Inside,THIV-FB-80,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - KHU SẠC XÁ,,,OHS,Inside,THIV-FB-90,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - KHU SẠC XÁ,,,OHS,Inside,THIV-FB-91,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 - KHU SẠC XÁ,,,OHS,Inside,THIV-FB-94,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện cổng chính _ Chính Giữa tầng trệt,,,OHS,Inside,THIV-FB-04,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực cầu cân _ Lối vào nhà máy,,,OHS,Inside,THIV-FB-07,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực đậu xe máy nhân viên INSEE,,,OHS,Inside,THIV-FB-12,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Kho OLA cảng nhò - LỐI RA bên phải tầng trệt,,,OHS,Inside,THIV-FB-21,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực KHO DỤNG CỤ bảo trì ( workshop),,,OHS,Inside,THIV-FB-33,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực xưởng sửa chữa bảo trì ( workshop),,,OHS,Inside,THIV-FB-35,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực xưởng sửa chữa bảo trì ( workshop),,,OHS,Inside,THIV-FB-36,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực Workshop _ Hành lang tầng 1,,,OHS,Inside,THIV-FB-40,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Xe Nâng - WORKSHOP,,,OHS,Inside,THIV-FB-45,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Hành lang trạm điện - MÁY PHÁT tầng 1,,,OHS,Inside,THIV-FB-51,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện tầng trệt - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-52,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện tầng 1 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-55,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện tầng 1 - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-56,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trước cửa bên trái kho- KHO CHẤT TRỢ NGHIỀN,,,OHS,Inside,THIV-FB-62,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Cầu thang bộ tầng 2- HOTGAS,,,OHS,Inside,THIV-FB-70,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - TRẠM NGHIỀN,,,OHS,Inside,THIV-FB-72,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 1 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-82,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 3 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-87,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 5 - KHU ĐÓNG BAO,,,OHS,Inside,THIV-FB-89,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng trệt - Khu PACKER,,,OHS,Inside,THIV-FB-106,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Tầng 2 - Khu PACKER,,,OHS,Inside,THIV-FB-109,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Khu vực phía sau bảo vệ cổng chính,,,OHS,Inside,THIV-FB-01,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện cổng chính_ Phía tay trái tầng trệt,,,OHS,Inside,THIV-FB-02,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Trạm điện cổng chính _ Phía tay trái tầng 1,,,OHS,Inside,THIV-FB-03,vu.ho@siamcitycement.com,thiv,vn,extinguisher
trạm xử lý nước thải,,,OHS,Inside,THIV-FB-117,vu.ho@siamcitycement.com,thiv,vn,extinguisher
Xưởng cơ khí chính,,,,,HONC-MM-FIRSTAID-01,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Xưởng cơ khí chính,,,,,HONC-MM-MW-FIRSTAID-02,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Bộ phận bôi trơn,,,,,HONC-PM-FIRSTAID-03,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Trạm đóng bao,,,,,HONC-PACKING-FIRSTAID-04,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Kho chất thải lỏng,,,,,HONC-ECO-LS-FIRSTAID-05,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Kho chất thải rắn,,,,,HONC-ECO-HW-FIRSTAID-06,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
phòng LAB,,,,,HONC-ECO-LAB-FIRSTAID-07,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Kho footwear,,,,,HONC-ECO-FW-FIRSTAID-08,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Cảng bốc dỡ chất thải,,,,,HONC-ECO-PORT-FIRSTAID-09,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Xưởng bảo trì,,,,,HONC-ECO-WS-FIRSTAID-10,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Warehouse,,,,,HONC-ECO-FWCX-FIRSTAID-11,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Khu phòng thí nghiệm,,,,,HONC-QA-FIRSTAID-12,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Mỏ sét,,,,,HONC-QR-CLAY-FIRSTAID-13,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Cối đập đá,,,,,HONC-QR-CRUSHER-FIRSTAID-14,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Văn phòng Mỏ,,,,,HONC-QR-OFFICE-FIRSTAID-15,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Xưởng Mobile,,,,,HONC-QR-WS-FIRSTAID-16,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Khu vực Kiln,,,,,HONC-PRO-KILN-FIRSTAID-17,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Power Station 110Kv,,,,,HONC-PRO-WHR-FIRSTAID-18,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Main Workshop,,,,,HONC-PRO-ATS-FIRSTAID-19,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Jetty,,,,,HONC-PROJETTY-FIRSTAID-22,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Xuất hàng container hepper,,,,,HONC-SCN-RMS-FIRSTAID-23,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Palletizer,,,,,HONC-PACKING-PA-FIRSTAID-24,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Văn phòng,,,,,HONC-SCN-OFFICE-FIRSTAID-25,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Cổng cảng,,,,,HONC-ADM-BT-FIRSTAID-26,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Trạm bảo vệ kho mìn,,,,,HONC-ADM-EXP-FIRSTAID-27,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Căng tin,,,,,HONC-ADM-CT-FIRSTAID-28,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
Housing estate,,,,,HONC-ADMIN-HE-FIRSTAID-29,nguyen.anh.nguyen@siamcitycement.com,honc,vn,firstaid
K91 BC1 (đối trọng băng tải),,,OHS,In side,THIV-FH-43,vu.ho@siamcitycement.com,thiv,vn,hydrant
"Kho VLNCN, Explosives storage",,,HS,,HONC-FE-FFP-11,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-06,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-03,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-10,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-07,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-02,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-01,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-04,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-09,thao.duong@siamcitycement.com,honc,vn,pump
"Trạm PCCC, Fire fighting station",,,HS,,HONC-FE-FFP-08,thao.duong@siamcitycement.com,honc,vn,pump
 cối nghiền đá vôi,,,Dưới chân,,HONC-FWV-HS-46,thao.duong@siamcitycement.com,honc,vn,valve
 CCR,,,Bên phải tòa nhà,,HONC-FWV-HS-18,thao.duong@siamcitycement.com,honc,vn,valve
 tiền xử lý CTNH - No.1,,,Phía trước bên trái kho,,HONC-FWV-HS-37,thao.duong@siamcitycement.com,honc,vn,valve
nhà máy điện,,,Bên trái trước,,HONC-FWV-HS-10,thao.duong@siamcitycement.com,honc,vn,valve
Sau Silo xi măng,,,Sau Silo xi măng,,HONC-FWV-HS-04,thao.duong@siamcitycement.com,honc,vn,valve
 kho chất thải lỏng,,,Góc phải bên dưới,,HONC-FWV-HS-08,thao.duong@siamcitycement.com,honc,vn,valve
 thang máy Preheater,,,Bên phải dưới chân lối vào,,HONC-FWV-HS-24,thao.duong@siamcitycement.com,honc,vn,valve
 phòng thí nghiệm ECO,,,Bên phải,,HONC-FWV-HS-39,thao.duong@siamcitycement.com,honc,vn,valve
 231-BC5 sau PGNAA No.1,,,Đường băng tải,,HONC-FWV-HS-44,thao.duong@siamcitycement.com,honc,vn,valve
Trạm bơm nước M30,,,Trạm bơm nước M30,,HONC-FWV-HS-06,thao.duong@siamcitycement.com,honc,vn,valve
M30,,,Trên trạm bơm nước,,HONC-FWV-HS-13,thao.duong@siamcitycement.com,honc,vn,valve
 J2 - No.1,,,Bên phải trạm điện,,HONC-FWV-HS-14,thao.duong@siamcitycement.com,honc,vn,valve
PCCC mới,,,Sau trạm ,,HONC-FWV-HS-16,thao.duong@siamcitycement.com,honc,vn,valve
 Preheater No.2,,,Phía sau thang máy,,HONC-FWV-HS-26,thao.duong@siamcitycement.com,honc,vn,valve
231-BC5 sau PGNAA No.2,,,Đường băng tải ,,HONC-FWV-HS-45,thao.duong@siamcitycement.com,honc,vn,valve
 591-BC2 trước CCR,,,Trên băng tải,,HONC-FWV-HS-20,thao.duong@siamcitycement.com,honc,vn,valve
Đầu kho liệu thô,,,Đầu kho liệu thô,,HONC-FWV-HS-32,thao.duong@siamcitycement.com,honc,vn,valve
Kho ATS,,,Kho ATS,,HONC-FWV-HS-49,thao.duong@siamcitycement.com,honc,vn,valve
 500 m3 - No.1,,,Gầm bồn nước,,HONC-FWV-HS-01,thao.duong@siamcitycement.com,honc,vn,valve
 nhà hành chính,,,Góc bên trái,,HONC-FWV-HS-19,thao.duong@siamcitycement.com,honc,vn,valve
 gần Pallettizer 2,,,Bên trong cuối kho liệu thô,,HONC-FWV-HS-40,thao.duong@siamcitycement.com,honc,vn,valve
 nước 500 m3,,,Dưới chân tháp,,HONC-FWV-HS-03,thao.duong@siamcitycement.com,honc,vn,valve
kho chất thải lỏng,,,Góc phải bên trên ,,HONC-FWV-HS-07,thao.duong@siamcitycement.com,honc,vn,valve
J51-BC6 - No.2,,,Gầm băng tải ,,HONC-FWV-HS-31,thao.duong@siamcitycement.com,honc,vn,valve
 bơm nước M30,,,Trước trạm,,HONC-FWV-HS-05,thao.duong@siamcitycement.com,honc,vn,valve
 tiền xử lý CTNH,,,Phía trước kho,,HONC-FWV-HS-36,thao.duong@siamcitycement.com,honc,vn,valve
 tiền xử lý CTNH - No.2,,,Phía trước bên trái kho,,HONC-FWV-HS-38,thao.duong@siamcitycement.com,honc,vn,valve
kho chất thải lỏng,,,Góc trái bên dưới ,,HONC-FWV-HS-09,thao.duong@siamcitycement.com,honc,vn,valve
 500 m3 - No.2,,,Gầm bồn nước,,HONC-FWV-HS-02,thao.duong@siamcitycement.com,honc,vn,valve
xi măng,,,Gầm thang máy,,HONC-FWV-HS-12,thao.duong@siamcitycement.com,honc,vn,valve
 WHR - No.1,,,Bên dưới phía trước,,HONC-FWV-HS-22,thao.duong@siamcitycement.com,honc,vn,valve
Bên trong kho rửa phi,,,Bên trong kho rửa phi,,HONC-FWV-HS-35,thao.duong@siamcitycement.com,honc,vn,valve
 WHR - No.2,,,Bên dưới phía trước,,HONC-FWV-HS-23,thao.duong@siamcitycement.com,honc,vn,valve
 gần Pallettizer 2,,,Bên ngoài cuối kho liệu thô,,HONC-FWV-HS-42,thao.duong@siamcitycement.com,honc,vn,valve
 xưởng cơ khí,,,Hướng nam,,HONC-FWV-HS-48,thao.duong@siamcitycement.com,honc,vn,valve
J2 - No.2,,,Bên phải trạm điện ,,HONC-FWV-HS-15,thao.duong@siamcitycement.com,honc,vn,valve
 WHR,,,Bên trên phía trước,,HONC-FWV-HS-21,thao.duong@siamcitycement.com,honc,vn,valve
 nghiền than,,,Trước máy,,HONC-FWV-HS-27,thao.duong@siamcitycement.com,honc,vn,valve
 trung chuyển than,,,Bên dưới nhà,,HONC-FWV-HS-34,thao.duong@siamcitycement.com,honc,vn,valve
nhà máy điện,,,Bên phải trước,,HONC-FWV-HS-11,thao.duong@siamcitycement.com,honc,vn,valve
PCCC mới,,,Bên trái trạm ,,HONC-FWV-HS-17,thao.duong@siamcitycement.com,honc,vn,valve
 Preheater No.1,,,Phía sau thang máy,,HONC-FWV-HS-25,thao.duong@siamcitycement.com,honc,vn,valve
 DO - No.1,,,Bên phải bồn dầu,,HONC-FWV-HS-28,thao.duong@siamcitycement.com,honc,vn,valve
 DO - No.2,,,Bên phải bồn dầu,,HONC-FWV-HS-29,thao.duong@siamcitycement.com,honc,vn,valve
 J51-BC6 - No.1,,,Gầm băng tải,,HONC-FWV-HS-30,thao.duong@siamcitycement.com,honc,vn,valve
 trung chuyển than,,,Bên trên nhà,,HONC-FWV-HS-33,thao.duong@siamcitycement.com,honc,vn,valve
 bên ngoài hướng Nam,,,Giữa nhà vòm đá vôi,,HONC-FWV-HS-41,thao.duong@siamcitycement.com,honc,vn,valve
 dọc băng tải 321-BC5,,,Bên ngoài cuối kho liệu thô,,HONC-FWV-HS-43,thao.duong@siamcitycement.com,honc,vn,valve
 hướng Đông,,,Kho đất đỏ,,HONC-FWV-HS-47,thao.duong@siamcitycement.com,honc,vn,valve
 Trước nhà máy thu nhiệt,,,HS,HONC Plant,HONC-FE-FHA-HS-13,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu kho Chứa Gas-Oxy,,,HS,HONC Plant,HONC-FE-FHA-HS-15,S.le@siamcitycement.com,honc,vn,hydrant
 Giữa máy hút trấu và tháp nước điều kiện,,,HS,HONC Plant,HONC-FE-FHA-HS-41,S.le@siamcitycement.com,honc,vn,hydrant
 Phía đông Pallettizer 1,,,HS,HONC Plant,HONC-FE-FHA-HS-62,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu kho CTKNH2 ( trụ số 1 ),,,HS,HONC Plant,HONC-FE-FHA-HS-78,S.le@siamcitycement.com,honc,vn,hydrant
 Trước Kho CTKNH 2 ( Trụ số 2 ),,,HS,HONC Plant,HONC-FE-FHA-HS-80,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-102,S.le@siamcitycement.com,honc,vn,hydrant
Cửa vào nhà tắm hướng Tây,,,HS,HONC Plant,HONC-FE-FHB-HS-04,S.le@siamcitycement.com,honc,vn,hydrant
T 2,,,Admin,Housing Estate,HONC-FE-FH-HE-09,S.le@siamcitycement.com,honc,vn,hydrant
Villa 4,,,Admin,Housing Estate,HONC-FE-FHB-HE-04,S.le@siamcitycement.com,honc,vn,hydrant
 Băng tải cảng_Cột số 23,,,HS,HONC Plant,HONC-FE-FHA-HS-06,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng trệt-Trụ bên trái phía cầu thang,,,HS,HONC Plant,HONC-FE-FHA-HS-16,S.le@siamcitycement.com,honc,vn,hydrant
 Dưới đường băng tải_Gần cối đất đỏ,,,HS,HONC Plant,HONC-FE-FHA-HS-29,S.le@siamcitycement.com,honc,vn,hydrant
 Khu vực làm nguội Nhà máy điện,,,HS,HONC Plant,HONC-FE-FHA-HS-35,S.le@siamcitycement.com,honc,vn,hydrant
 Góc phía nam kho CTNH rắn,,,HS,HONC Plant,HONC-FE-FHA-HS-45,S.le@siamcitycement.com,honc,vn,hydrant
 Đường băng tải 231-BC5 sau PGNAA,,,HS,HONC Plant,HONC-FE-FHA-HS-65,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu kho CTKNH1 ( trụ số 1 ),,,HS,HONC Plant,HONC-FE-FHA-HS-73,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu kho CTKNH 2 ( trụ số 2 ),,,HS,HONC Plant,HONC-FE-FHA-HS-77,S.le@siamcitycement.com,honc,vn,hydrant
 Bên ngoài Xưởng cơ khí chính hướng Tây,,,HS,HONC Plant,HONC-FE-FHA-HS-94,S.le@siamcitycement.com,honc,vn,hydrant
Cửa vào nhà ăn hướng Đông,,,HS,HONC Plant,HONC-FE-FHB-HS-03,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía nam kho Pallettizer 2 ( số 1 ),,,HS,HONC Plant,HONC-FE-FHB-HS-26,S.le@siamcitycement.com,honc,vn,hydrant
T 3,,,Admin,Housing Estate,HONC-FE-FH-HE-07,S.le@siamcitycement.com,honc,vn,hydrant
Villa 2,,,Admin,Housing Estate,HONC-FE-FHB-HE-02,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng trệt-Trụ bên phải cửa chính,,,HS,HONC Plant,HONC-FE-FHA-HS-17,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng trệt-Trụ phía sau,,,HS,HONC Plant,HONC-FE-FHA-HS-19,S.le@siamcitycement.com,honc,vn,hydrant
 Bên trái kho hóa chất lỏng,,,HS,HONC Plant,HONC-FE-FHA-HS-33,S.le@siamcitycement.com,honc,vn,hydrant
 Sàn đuôi lò,,,HS,HONC Plant,HONC-FE-FHA-HS-39,S.le@siamcitycement.com,honc,vn,hydrant
 Giữa nhà vòm đá vôi bên trong hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-61,S.le@siamcitycement.com,honc,vn,hydrant
 Giữa băng tải 231-BC5 (PGNAA-Nhà vòm đá vôi),,,HS,HONC Plant,HONC-FE-FHA-HS-64,S.le@siamcitycement.com,honc,vn,hydrant
Cửa thoát hiểm số 4 đến nhà tắm và nhà ăn,,,HS,HONC Plant,HONC-FE-FHB-HS-09,S.le@siamcitycement.com,honc,vn,hydrant
Tầng 3 Tháp tiền nung,,,HS,HONC Plant,HONC-FE-FHB-HS-16,S.le@siamcitycement.com,honc,vn,hydrant
Tầng 4 Tháp tiền nung,,,HS,HONC Plant,HONC-FE-FHB-HS-17,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 1,,,Admin,Housing Estate,HONC-FE-FHB-HE-22,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 1,,,Admin,Housing Estate,HONC-FE-FHB-HE-23,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu cầu dẫn ra cảng,,,HS,HONC Plant,HONC-FE-FHA-HS-04,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 1-Trụ bên trái cầu thang,,,HS,HONC Plant,HONC-FE-FHA-HS-22,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 2-Trụ bên phải dọc hành lang,,,HS,HONC Plant,HONC-FE-FHA-HS-25,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 3-Trụ đầu cầu thang,,,HS,HONC Plant,HONC-FE-FHA-HS-27,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên ngoài hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-55,S.le@siamcitycement.com,honc,vn,hydrant
" Giữa nhà vòm đá vôi hướng Bắc, Trụ số 1",,,HS,HONC Plant,HONC-FE-FHA-HS-57,S.le@siamcitycement.com,honc,vn,hydrant
 Cuối kho CTKNH 2 ( trụ số 1 ) ECO,,,HS,HONC Plant,HONC-FE-FHA-HS-69,S.le@siamcitycement.com,honc,vn,hydrant
 Trước Kho CTKNH 2 ( Trụ số 1 ),,,HS,HONC Plant,HONC-FE-FHA-HS-79,S.le@siamcitycement.com,honc,vn,hydrant
 Bên ngoài Xưởng cơ khí chính hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-93,S.le@siamcitycement.com,honc,vn,hydrant
 Bên ngoài Xưởng cơ khí chính hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-95,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-98,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía tây kho Pallettizer 1,,,HS,HONC Plant,HONC-FE-FHB-HS-21,S.le@siamcitycement.com,honc,vn,hydrant
C 12,,,Admin,Housing Estate,HONC-FE-FHA-HE-06,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 1,,,Admin,Housing Estate,HONC-FE-FHB-HE-20,S.le@siamcitycement.com,honc,vn,hydrant
 Trước nhà ăn,,,HS,HONC Plant,HONC-FE-FH-HS-01,S.le@siamcitycement.com,honc,vn,hydrant
 Phía sau Xưởng cơ khí chính,,,HS,HONC Plant,HONC-FE-FHA-HS-14,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng trệt-Trụ bên phải cửa phòng điện,,,HS,HONC Plant,HONC-FE-FHA-HS-20,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-54,S.le@siamcitycement.com,honc,vn,hydrant
 Bên trái khu vực cấp trấu lò nung,,,HS,HONC Plant,HONC-FE-FHA-HS-97,S.le@siamcitycement.com,honc,vn,hydrant
Cửa thoát hiểm số 3 đến nhà xe và sang xưởng cơ khí chính.,,,HS,HONC Plant,HONC-FE-FHB-HS-08,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía bắc kho Pallettizer 1 ( số 1),,,HS,HONC Plant,HONC-FE-FHB-HS-22,S.le@siamcitycement.com,honc,vn,hydrant
Block B 12,,,Admin,Housing Estate,HONC-FE-FH-HE-05,S.le@siamcitycement.com,honc,vn,hydrant
T 2,,,Admin,Housing Estate,HONC-FE-FH-HE-11,S.le@siamcitycement.com,honc,vn,hydrant
 Băng tải cảng_Cột số 11,,,HS,HONC Plant,HONC-FE-FHA-HS-05,S.le@siamcitycement.com,honc,vn,hydrant
 Gần Silo Xi măng số 2,,,HS,HONC Plant,HONC-FE-FHA-HS-30,S.le@siamcitycement.com,honc,vn,hydrant
Khu vực đậu xe gắn máy chân tháp tiền nung,,,HS,HONC Plant,HONC-FE-FHA-HS-40,S.le@siamcitycement.com,honc,vn,hydrant
 Kho đất đỏ hướng Đông,,,HS,HONC Plant,HONC-FE-FHA-HS-52,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên ngoài hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-53,S.le@siamcitycement.com,honc,vn,hydrant
 Cuối kho CTKNH 2 ( trụ số 2 ) ECO,,,HS,HONC Plant,HONC-FE-FHA-HS-68,S.le@siamcitycement.com,honc,vn,hydrant
 Phía tây Pallettizer 2,,,HS,HONC Plant,HONC-FE-FHA-HS-82,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 3 máy nghiền than ( Trụ số 2 ),,,HS,HONC Plant,HONC-FE-FHA-HS-87,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 5 Tháp tiền nung,,,HS,HONC Plant,HONC-FE-FHA-HS-104,S.le@siamcitycement.com,honc,vn,hydrant
 Họng số 2 (Dọc băng tải sicon ATS),,,HS,HONC Plant,HONC-FE-FHA-HS-106,S.le@siamcitycement.com,honc,vn,hydrant
Cửa thoát hiểm số 2 đến nhà xe phía Lò.,,,HS,HONC Plant,HONC-FE-FHB-HS-07,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía tây kho Pallettizer 2,,,HS,HONC Plant,HONC-FE-FHB-HS-28,S.le@siamcitycement.com,honc,vn,hydrant
Block A 12,,,Admin,Housing Estate,HONC-FE-FH-HE-04,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu thềm cảng_Cột số 3,,,HS,HONC Plant,HONC-FE-FHA-HS-02,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 2-Trụ cuối hành lang,,,HS,HONC Plant,HONC-FE-FHA-HS-26,S.le@siamcitycement.com,honc,vn,hydrant
 Bên trái kho ATS,,,HS,HONC Plant,HONC-FE-FHA-HS-49,S.le@siamcitycement.com,honc,vn,hydrant
 Dưới băng tải 221-BC2 đối diện xưởng ECO,,,HS,HONC Plant,HONC-FE-FHA-HS-67,S.le@siamcitycement.com,honc,vn,hydrant
 Trước Kho CTKNH 1 ( Trụ số 1 ),,,HS,HONC Plant,HONC-FE-FHA-HS-72,S.le@siamcitycement.com,honc,vn,hydrant
 Sau Xưởng cơ khí chính-số 3,,,HS,HONC Plant,HONC-FE-FHA-HS-92,S.le@siamcitycement.com,honc,vn,hydrant
 Họng số 1 (Dọc băng tải sicon ATS),,,HS,HONC Plant,HONC-FE-FHA-HS-105,S.le@siamcitycement.com,honc,vn,hydrant
"Tầng trệt, bên trong cửa chính vào CCR.",,,HS,HONC Plant,HONC-FE-FHB-HS-13,S.le@siamcitycement.com,honc,vn,hydrant
Villa 3,,,Admin,Housing Estate,HONC-FE-FHB-HE-03,S.le@siamcitycement.com,honc,vn,hydrant
Block B 4,,,Admin,Housing Estate,HONC-FE-FHB-HE-13,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 1,,,Admin,Housing Estate,HONC-FE-FHB-HE-21,S.le@siamcitycement.com,honc,vn,hydrant
