place,department,kind,name,type,site,country,id,email,bu
Canteen Thạnh Long,Electrical Maintenance,Quạt tường,,electrical,thiv,thailand,THIV-CANT-TL01,son.pham@siamcitycement.com,vn
Canteen Thạnh Long,Electrical Maintenance,Quạt tường,,electrical,thiv,thailand,THIV-CANT-TL02,son.pham@siamcitycement.com,vn
Canteen Thạnh Long,Electrical Maintenance,Quạt đứng,,electrical,thiv,thailand,THIV-CANT-TL03,son.pham@siamcitycement.com,vn
Canteen Thạnh Long,Electrical Maintenance,Quạt đứng,,electrical,thiv,thailand,THIV-CANT-TL04,son.pham@siamcitycement.com,vn
Canteen Thạnh Long,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-CANT-TL05,son.pham@siamcitycement.com,vn
Canteen Thạnh Long,Electrical Maintenance,Tủ đông,,electrical,thiv,thailand,THIV-CANT-TL06,son.pham@siamcitycement.com,vn
Canteen Thạnh Long,Electrical Maintenance,Charge bộ đàm,,electrical,thiv,thailand,THIV-CANT-TL07,son.pham@siamcitycement.com,vn
Phòng nghỉ tài xế bãi Slag,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PNTX-SLAG01,son.pham@siamcitycement.com,vn
Phòng nghỉ tài xế bãi Slag,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-PNTX-SLAG02,son.pham@siamcitycement.com,vn
Phòng nghỉ tài xế bãi Slag,Electrical Maintenance,Quạt MaSaKY,,electrical,thiv,thailand,THIV-PNTX-SLAG03,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-SX-01,son.pham@siamcitycement.com,vn
Phong Vy,Electrical Maintenance,Am dun nuoc,,electrical,thiv,thailand,THIV-SX-02,son.pham@siamcitycement.com,vn
Phòng toilet Nam CCR tầng trên,Electrical Maintenance,Hand dryer,,electrical,thiv,thailand,THIV-SX-03,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Máy pha coffee,,electrical,thiv,thailand,THIV-SX-04,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Switch Mạng,,electrical,thiv,thailand,THIV-SX-05,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-SX-06,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-07,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-08,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-09,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-10,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-11,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-12,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-13,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Man hinh camera,,electrical,thiv,thailand,THIV-SX-14,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-SX-15,son.pham@siamcitycement.com,vn
Phòng anh Trung WS,Electrical Maintenance,Máy tính Lememoi,,electrical,thiv,thailand,THIV-SX-16,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Máy chiếu,,electrical,thiv,thailand,THIV-SX-17,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Máy in Fujixerox,,electrical,thiv,thailand,THIV-SX-18,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Máy in Brother,,electrical,thiv,thailand,THIV-SX-19,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Màn hình Máy tính,,electrical,thiv,thailand,THIV-SX-20,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Màn hình Máy tính,,electrical,thiv,thailand,THIV-SX-21,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Màn hình Máy tính,,electrical,thiv,thailand,THIV-SX-22,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Màn hình Máy tính,,electrical,thiv,thailand,THIV-SX-23,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Màn hình Máy tính,,electrical,thiv,thailand,THIV-SX-24,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Màn hình camera,,electrical,thiv,thailand,THIV-SX-25,son.pham@siamcitycement.com,vn
Phòng trà WS,Electrical Maintenance,Tủ lạnh,,electrical,thiv,thailand,THIV-SX-26,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-SX-27,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-SX-28,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-SX-29,son.pham@siamcitycement.com,vn
CCR WS,Electrical Maintenance,Tủ trưng bày,,electrical,thiv,thailand,THIV-SX-30,son.pham@siamcitycement.com,vn
toilet nam CCR tầng dưới,Electrical Maintenance,Máy sấy tay,,electrical,thiv,thailand,THIV-SX-31,son.pham@siamcitycement.com,vn
P Thạch,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-SX-32,son.pham@siamcitycement.com,vn
P A. Sơn D,Electrical Maintenance,Quạt tường,,electrical,thiv,thailand,THIV-SX-33,son.pham@siamcitycement.com,vn
P A. Trung,Electrical Maintenance,Lò vi sóng,,electrical,thiv,thailand,THIV-SX-34,son.pham@siamcitycement.com,vn
P A. Trung,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-SX-35,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-SX-36,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-SX-37,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Máy hút bụi Panasonic,,electrical,thiv,thailand,THIV-SX-38,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-SX-39,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-SX-40,son.pham@siamcitycement.com,vn
Phòng A Sơn D,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-SX-41,son.pham@siamcitycement.com,vn
CCR,Electrical Maintenance,Máy tính camera mới,,electrical,thiv,thailand,THIV-SX-42,son.pham@siamcitycement.com,vn
CCR,Electrical Maintenance,Máy in NFC,,electrical,thiv,thailand,THIV-SX-43,son.pham@siamcitycement.com,vn
CCR,Electrical Maintenance,Máy giặc,,electrical,thiv,thailand,THIV-SX-44,son.pham@siamcitycement.com,vn
Phòng A Sơn,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-SX-45,son.pham@siamcitycement.com,vn
CCR,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-SX-46,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PAH-01,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PAH-02,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-PAH-03,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-04,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-05,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-06,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-07,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-08,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,Charge bộ đàm,,electrical,thiv,thailand,THIV-PAH-09,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-10,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-11,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-PAH-12,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-PAH-13,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-PAH-14,son.pham@siamcitycement.com,vn
Phòng A Hiếu,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-PAH-15,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-WORKSH-01,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-02,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,Sạc pin Masuia,,electrical,thiv,thailand,THIV-WORKSH-03,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-WORKSH-04,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-WORKSH-05,son.pham@siamcitycement.com,vn
Phòng Vương WS,Electrical Maintenance,Charge bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-06,son.pham@siamcitycement.com,vn
Kho Vật Tư_Anh Dân,Electrical Maintenance,Máy in HP,,electrical,thiv,thailand,THIV-WORKSH-07,son.pham@siamcitycement.com,vn
Kho Vật Tư_Anh Dân,Electrical Maintenance,Camera,,electrical,thiv,thailand,THIV-WORKSH-08,son.pham@siamcitycement.com,vn
Kho Vật Tư_Anh Dân,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-WORKSH-09,son.pham@siamcitycement.com,vn
Kho Vật Tư_Anh Dân,Electrical Maintenance,Dây nguồn SocKet,,electrical,thiv,thailand,THIV-WORKSH-10,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-WORKSH-11,son.pham@siamcitycement.com,vn
Kho Vật Tư_Anh Dân,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-WORKSH-12,son.pham@siamcitycement.com,vn
Kho Vật Tư_Anh Dân,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-WORKSH-13,son.pham@siamcitycement.com,vn
Phòng Vương Workshop,Electrical Maintenance,Máy Tính,,electrical,thiv,thailand,THIV-WORKSH-14,son.pham@siamcitycement.com,vn
Phòng Anh Biên Workshop,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-15,son.pham@siamcitycement.com,vn
Phòng Vương Workshop,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-16,son.pham@siamcitycement.com,vn
Phòng Vương Workshop,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-WORKSH-17,son.pham@siamcitycement.com,vn
Phòng Vương Workshop,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-WORKSH-18,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-WORKSH-19,son.pham@siamcitycement.com,vn
Phòng Vương Workshop,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-WORKSH-20,son.pham@siamcitycement.com,vn
Phòng Đi ca Quí Workshop,Electrical Maintenance,Sạc máy đo khí,,electrical,thiv,thailand,THIV-WORKSH-21,son.pham@siamcitycement.com,vn
Phòng Anh Sơn P,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-WORKSH-22,son.pham@siamcitycement.com,vn
Phòng Anh Sơn P,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-23,son.pham@siamcitycement.com,vn
Phòng Anh Sơn P,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-WORKSH-24,son.pham@siamcitycement.com,vn
Phòng Anh Sơn P,Electrical Maintenance,Máy in Brother,,electrical,thiv,thailand,THIV-WORKSH-25,son.pham@siamcitycement.com,vn
Phòng Anh Sơn P,Electrical Maintenance,Máy in Brother 2,,electrical,thiv,thailand,THIV-WORKSH-26,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Dây nguồn Socket,,electrical,thiv,thailand,THIV-WORKSH-27,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Dây nguồn Socket,,electrical,thiv,thailand,THIV-WORKSH-28,son.pham@siamcitycement.com,vn
Phòng Đi ca Workshop,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-29,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-30,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Dây nguốn Socket,,electrical,thiv,thailand,THIV-WORKSH-31,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Dây nguốn Socket,,electrical,thiv,thailand,THIV-WORKSH-32,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Máy in,,electrical,thiv,thailand,THIV-WORKSH-33,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-34,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-WORKSH-35,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Máy Scan,,electrical,thiv,thailand,THIV-WORKSH-36,son.pham@siamcitycement.com,vn
Phòng Anh Tuấn WS,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-WORKSH-37,son.pham@siamcitycement.com,vn
Phòng Anh Huấn WS,Electrical Maintenance,Dây nguốn Socket,,electrical,thiv,thailand,THIV-WORKSH-38,son.pham@siamcitycement.com,vn
Toilet nam WS tầng trệt,Electrical Maintenance,Máy sấy tay,,electrical,thiv,thailand,THIV-WORKSH-39,son.pham@siamcitycement.com,vn
Phòng Anh Dân WS,Electrical Maintenance,Sạc pin makita,,electrical,thiv,thailand,THIV-WORKSH-40,son.pham@siamcitycement.com,vn
Phòng Anh Dân WS,Electrical Maintenance,Loa Vi tính,,electrical,thiv,thailand,THIV-WORKSH-41,son.pham@siamcitycement.com,vn
Phòng Quý WS,Electrical Maintenance,Máy tính,,electrical,thiv,thailand,THIV-WORKSH-42,son.pham@siamcitycement.com,vn
Phòng Quý WS,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-WORKSH-43,son.pham@siamcitycement.com,vn
Phòng Quý WS,Electrical Maintenance,UPS,,electrical,thiv,thailand,THIV-WORKSH-44,son.pham@siamcitycement.com,vn
Phòng Đi ca WS,Electrical Maintenance,Quạt tường,,electrical,thiv,thailand,THIV-WORKSH-45,son.pham@siamcitycement.com,vn
Phòng Quý WS,Electrical Maintenance,Sạc bộ đàm,,electrical,thiv,thailand,THIV-WORKSH-46,son.pham@siamcitycement.com,vn
Phòng Đi ca WS,Electrical Maintenance,Máy in HP,,electrical,thiv,thailand,THIV-WORKSH-47,son.pham@siamcitycement.com,vn
Phòng Anh Vương WS,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-WORKSH-48,son.pham@siamcitycement.com,vn
Phòng Quý WS,Electrical Maintenance,Quạt treo tường,,electrical,thiv,thailand,THIV-WORKSH-49,son.pham@siamcitycement.com,vn
Phòng Anh Huấn WS,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-WORKSH-50,son.pham@siamcitycement.com,vn
Phòng Anh Phước WS,Electrical Maintenance,Máy nước nóng,,electrical,thiv,thailand,THIV-WORKSH-51,son.pham@siamcitycement.com,vn
Phòng họp,Electrical Maintenance,Máy chiếu,,electrical,thiv,thailand,THIV-WORKSH-52,son.pham@siamcitycement.com,vn
Phòng họp,Electrical Maintenance,Amly,,electrical,thiv,thailand,THIV-WORKSH-53,son.pham@siamcitycement.com,vn
Phòng Anh Biên,Electrical Maintenance,Dây Sạc wiching,,electrical,thiv,thailand,THIV-WORKSH-54,son.pham@siamcitycement.com,vn
Phòng Anh Biên,Electrical Maintenance,Dây nguốn Socket,,electrical,thiv,thailand,THIV-WORKSH-55,son.pham@siamcitycement.com,vn
Phòng Anh Biên,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-WORKSH-56,son.pham@siamcitycement.com,vn
Phòng Anh Biên,Electrical Maintenance,CPU,,electrical,thiv,thailand,THIV-WORKSH-57,son.pham@siamcitycement.com,vn
Phòng Anh Biên,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-WORKSH-58,son.pham@siamcitycement.com,vn
Phòng Anh Biên,Electrical Maintenance,Máy hàn chì,,electrical,thiv,thailand,THIV-WORKSH-59,son.pham@siamcitycement.com,vn
Phòng Anh Biên,Electrical Maintenance,Dây nguồn,,electrical,thiv,thailand,THIV-WORKSH-60,son.pham@siamcitycement.com,vn
Chân Mill,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-5P1-1N1-F4,son.pham@siamcitycement.com,vn
Cửa Mill,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-561-RM1,son.pham@siamcitycement.com,vn
Bag Filter,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-5P1-1N1-F5,son.pham@siamcitycement.com,vn
Mill Building,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-5P1-1N1-F15,son.pham@siamcitycement.com,vn
Đỉnh Silo Xi Măng,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-5P1-1N1-F6,son.pham@siamcitycement.com,vn
Đỉnh Silo 3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-5P1-1N1-N21,son.pham@siamcitycement.com,vn
Cầu thang lên Packer,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F4,son.pham@siamcitycement.com,vn
Gần Tủ điện 621-LA1,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F5,son.pham@siamcitycement.com,vn
Gần 621-PG1,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F5-1,son.pham@siamcitycement.com,vn
Gần Lọc bụi 661-BF2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F6,son.pham@siamcitycement.com,vn
Gần Băng tải 6F1-BC8,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12,son.pham@siamcitycement.com,vn
Gần tủ điện 621-LA2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F14,son.pham@siamcitycement.com,vn
Gần tủ điện 621-LA2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F14-1,son.pham@siamcitycement.com,vn
Jumbo,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6F1-1N1-N21,son.pham@siamcitycement.com,vn
Barge 1,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6F1-LM1,son.pham@siamcitycement.com,vn
Barge 2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6F1-CA1-U1,son.pham@siamcitycement.com,vn
Truck 1,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-691-LM1,son.pham@siamcitycement.com,vn
Đỉnh Silo Clinker,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-JP1-1N1-F5,son.pham@siamcitycement.com,vn
Weigh Feeder,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-JP1-1N1-F6,son.pham@siamcitycement.com,vn
Đỉnh bin Pozz,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-JP1-1N1-F6-1,son.pham@siamcitycement.com,vn
Đầu 511-BC4,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-JP1-1N1-F6-2,son.pham@siamcitycement.com,vn
Silo Dome,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-511-01,son.pham@siamcitycement.com,vn
lọc bụi silo dome,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-491-BF3,son.pham@siamcitycement.com,vn
Trạm B,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-5P1-1N2-F2,son.pham@siamcitycement.com,vn
Kho Slag,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-X11-3M2-C2,son.pham@siamcitycement.com,vn
Cảng nhỏ,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-JP1-1N2-F1,son.pham@siamcitycement.com,vn
Cảng Lớn,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-JP1-1N2-F2,son.pham@siamcitycement.com,vn
Đuôi Belt K91-BC2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-JP1-1N2-F3,son.pham@siamcitycement.com,vn
Hopper 1,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-J51-HP1,son.pham@siamcitycement.com,vn
Hopper 2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-J51-HP2,son.pham@siamcitycement.com,vn
Hopper 3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-J51-HP3,son.pham@siamcitycement.com,vn
Ổ cắm 1 pha WS Gần máy tiện,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-2-LP3,son.pham@siamcitycement.com,vn
Cửa Phụ WS,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-G11,son.pham@siamcitycement.com,vn
WS xưởng ngoài,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-G11-2,son.pham@siamcitycement.com,vn
Sàn Rung Packer 3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-661-VS3,son.pham@siamcitycement.com,vn
Packer 3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-PM3,son.pham@siamcitycement.com,vn
Barge,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12-01,son.pham@siamcitycement.com,vn
Barge,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12-02,son.pham@siamcitycement.com,vn
Barge,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12-03,son.pham@siamcitycement.com,vn
Barge,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12-04,son.pham@siamcitycement.com,vn
Barge,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12-05,son.pham@siamcitycement.com,vn
Barge,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12-06,son.pham@siamcitycement.com,vn
Barge,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F12-07,son.pham@siamcitycement.com,vn
TV.PM3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-PM3-01,son.pham@siamcitycement.com,vn
TV.BW2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-BW2-01,son.pham@siamcitycement.com,vn
Gần máy phóng bao PM2,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-PM3-02,son.pham@siamcitycement.com,vn
Gần máy phóng bao PM3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-PM3-03,son.pham@siamcitycement.com,vn
Gần kho bao packer,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-PM3-04,son.pham@siamcitycement.com,vn
CW3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-BW3-05,son.pham@siamcitycement.com,vn
CW1,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-BW1-06,son.pham@siamcitycement.com,vn
Đỉnh Xá line 3 cân GGBFS,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-IN1-GGBFS-F1,son.pham@siamcitycement.com,vn
Silo FA,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-IN1-FA-F1,son.pham@siamcitycement.com,vn
Đỉnh GGBFS Xá line 3,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-IN1-GGBFS-F2,son.pham@siamcitycement.com,vn
Autotruck đầu,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F11-01,son.pham@siamcitycement.com,vn
autotruck đuôi,Electrical Maintenance,Socket center,,socket,thiv,thailand,THIV-MTN-6P1-1N1-F11-02,son.pham@siamcitycement.com,vn
Phòng An toàn (phòng 63),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0009,hung.thai@siamcitycement.com,vn
Phòng kế toán (phòng 62),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0011,hung.thai@siamcitycement.com,vn
Phòng họp số 61,,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0016,hung.thai@siamcitycement.com,vn
Phòng họp số 61,,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0017,hung.thai@siamcitycement.com,vn
Phòng nhân sự (phòng 58),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0026,hung.thai@siamcitycement.com,vn
Phòng học tiếng anh (Phòng 51),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0037,hung.thai@siamcitycement.com,vn
Phòng học tiếng anh (Phòng 51),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0039,hung.thai@siamcitycement.com,vn
Phòng kế hoạch (Plan),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0084,hung.thai@siamcitycement.com,vn
Phòng kế hoạch (Plan),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0087,hung.thai@siamcitycement.com,vn
Phòng Electrical Maintenance.,,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0090,hung.thai@siamcitycement.com,vn
Phòng Công Nghệ.,,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0103,hung.thai@siamcitycement.com,vn
Phòng hành chánh (phòng 07),,,1 Phase Socket,electrical,honc,vietnam,HONC-ADMIN-0138,hung.thai@siamcitycement.com,vn
